0 3 6
1 2 6
2 2 4
3 1 4
4 2 5
5 5 5
6 3 4
7 1 4
8 1 2
9 1 2
10 1 2
11 0 2
12 3 6
13 1 6
14 12 13
15 8 13
16 4 10
17 1 10
18 1 5
19 2 5
20 6 9
21 2 9
22 3 9
23 5 9
24 7 7
25 2 7
26 6 6
27 0 6
28 1 2
29 0 2
30 0 2
31 0 2
32 2 6
33 1 6
34 0 4
35 0 4
36 1 2
37 1 2
38 0 1
39 0 1
40 0 2
41 0 2
42 2 4
43 2 4
44 1 1
45 0 1
46 2 4
47 1 4
48 2 4
49 1 4
50 0 3
51 2 3
52 0 2
53 0 2
54 0 3
55 2 3
56 0 2
57 0 2
58 6 10
59 0 10
60 1 6
61 0 6
62 1 4
63 0 4
64 1 2
65 0 2
66 0 2
67 0 2
68 0 4
69 0 4
70 1 2
71 0 2
72 0 2
73 0 2
74 8 8
75 7 8
76 4 10
77 7 10
78 2 6
79 1 6
80 1 3
81 2 3
82 0 1
83 0 1
84 3 6
85 3 6
86 10 16
87 6 16
88 1 3
89 1 3
90 3 14
91 8 14
92 10 11
93 0 11
94 0 14
95 0 14
96 0 3
97 2 3
98 7 10
99 9 10
100 0 3
101 1 3
102 3 4
103 1 4
104 1 2
105 1 2
106 0 2
107 0 2
108 1 2
109 2 2
110 2 5
111 4 5
112 0 1
113 1 1
114 0 1
115 0 1
116 1 4
117 2 4
118 1 3
119 1 3
120 1 3
121 1 3
122 1 3
123 0 3
124 0 1
125 0 1
126 0 3
127 0 3
128 0 2
129 0 2
130 1 2
131 1 2
132 0 2
133 0 2
134 1 2
135 1 2
136 2 3
137 0 3
138 0 1
139 0 1
140 3 10
141 4 10
142 0 2
143 0 2
144 0 4
145 0 4
146 6 10
147 5 10
148 1 3
149 0 3
150 0 3
151 0 3
152 1 4
153 0 4
154 0 1
155 0 1
156 0 1
157 0 1
158 1 1
159 0 1
160 0 3
161 0 3
162 0 1
163 0 1
164 0 2
165 0 2
166 0 2
167 1 2
168 0 6
169 1 6
