0 3 6
1 2 6
2 2 4
3 0 4
4 1 5
5 5 5
6 3 4
7 2 4
8 1 2
9 1 2
10 0 2
11 0 2
12 4 6
13 1 6
14 12 13
15 8 13
16 2 10
17 1 10
18 2 5
19 2 5
20 8 9
21 2 9
22 3 9
23 6 9
24 6 7
25 1 7
26 6 6
27 1 6
28 1 2
29 0 2
30 1 2
31 0 2
32 1 6
33 0 6
34 0 4
35 0 4
36 0 2
37 0 2
38 0 1
39 0 1
40 0 2
41 0 2
42 2 4
43 2 4
44 0 1
45 0 1
46 0 4
47 0 4
48 3 4
49 3 4
50 0 3
51 1 3
52 1 2
53 1 2
54 0 3
55 0 3
56 0 2
57 0 2
58 7 10
59 0 10
60 2 6
61 0 6
62 1 4
63 0 4
64 0 2
65 0 2
66 1 2
67 0 2
68 0 4
69 0 4
70 0 2
71 0 2
72 0 2
73 0 2
74 7 8
75 8 8
76 5 10
77 7 10
78 0 6
79 0 6
80 1 3
81 1 3
82 1 1
83 0 1
84 4 6
85 4 6
86 10 16
87 5 16
88 1 3
89 1 3
90 5 14
91 9 14
92 11 11
93 0 11
94 0 14
95 0 14
96 1 3
97 1 3
98 8 10
99 9 10
100 2 3
101 1 3
102 2 4
103 1 4
104 0 2
105 0 2
106 2 2
107 0 2
108 0 2
109 2 2
110 3 5
111 4 5
112 1 1
113 1 1
114 0 1
115 0 1
116 0 4
117 2 4
118 1 3
119 0 3
120 0 3
121 1 3
122 0 3
123 1 3
124 0 1
125 0 1
126 0 3
127 0 3
128 1 2
129 0 2
130 1 2
131 1 2
132 0 2
133 1 2
134 2 2
135 1 2
136 1 3
137 1 3
138 0 1
139 0 1
140 3 10
141 4 10
142 0 2
143 0 2
144 0 4
145 0 4
146 5 10
147 4 10
148 0 3
149 0 3
150 0 3
151 0 3
152 2 4
153 0 4
154 0 1
155 0 1
156 0 1
157 0 1
158 0 1
159 0 1
160 0 3
161 0 3
162 0 1
163 0 1
164 0 2
165 0 2
166 0 2
167 1 2
168 2 6
169 1 6
