0 3 6
1 1 6
2 2 4
3 1 4
4 3 5
5 1 5
6 2 4
7 2 4
8 1 2
9 0 2
10 1 2
11 1 2
12 4 6
13 0 6
14 10 13
15 6 13
16 5 10
17 0 10
18 3 5
19 1 5
20 6 9
21 1 9
22 8 9
23 6 9
24 4 7
25 2 7
26 4 6
27 1 6
28 2 2
29 1 2
30 1 2
31 1 2
32 0 6
33 0 6
34 0 4
35 0 4
36 0 2
37 0 2
38 0 1
39 0 1
40 0 2
41 0 2
42 1 4
43 2 4
44 0 1
45 0 1
46 2 4
47 2 4
48 2 4
49 1 4
50 1 3
51 1 3
52 0 2
53 0 2
54 0 3
55 1 3
56 0 2
57 0 2
58 7 10
59 0 10
60 0 6
61 0 6
62 0 4
63 0 4
64 0 2
65 0 2
66 0 2
67 0 2
68 2 4
69 0 4
70 0 2
71 0 2
72 1 2
73 0 2
74 8 8
75 6 8
76 9 10
77 7 10
78 4 6
79 1 6
80 2 3
81 1 3
82 1 1
83 1 1
84 3 6
85 2 6
86 11 16
87 3 16
88 1 3
89 1 3
90 5 14
91 5 14
92 8 11
93 0 11
94 0 14
95 0 14
96 1 3
97 1 3
98 5 10
99 7 10
100 1 3
101 1 3
102 1 4
103 1 4
104 0 2
105 0 2
106 1 2
107 0 2
108 1 2
109 1 2
110 3 5
111 5 5
112 0 1
113 1 1
114 0 1
115 0 1
116 1 4
117 3 4
118 1 3
119 0 3
120 1 3
121 0 3
122 1 3
123 0 3
124 0 1
125 0 1
126 1 3
127 0 3
128 1 2
129 0 2
130 0 2
131 0 2
132 1 2
133 1 2
134 0 2
135 1 2
136 1 3
137 0 3
138 0 1
139 0 1
140 1 10
141 5 10
142 0 2
143 0 2
144 0 4
145 0 4
146 6 10
147 0 10
148 1 3
149 0 3
150 0 3
151 0 3
152 1 4
153 0 4
154 0 1
155 0 1
156 0 1
157 0 1
158 0 1
159 0 1
160 0 3
161 0 3
162 0 1
163 0 1
164 0 2
165 0 2
166 0 2
167 1 2
168 0 6
169 1 6
